"imbalance_ratio","method","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd"
"10:990","smote_tomek",0.998901098901099,0.023440361546925,0.901995229052362,0.039312919313754,0.112328564891714,0.0723861779154108,0.195037925659129,0.1071772656607,0.948913169932262,0.0249487885080215,0.95044816397673,0.0234611167058092,0.305400573379776,0.0987121863948339,0.500253364612644,0.252109232376429,0.992425236318652,0.0078711907742048,0.00879203356229342,0.00254913688074988
"200:800","adasyn",0.977993411080702,0.0240286174662689,0.843511277541517,0.0326885347981034,0.615513795391147,0.0566210313011464,0.753965170872039,0.0445933382580998,0.908033761066501,0.0212963439668709,0.910752344311109,0.0206456201236457,0.706844661919998,0.0480188775942147,0.9462155182627,0.0259269439137992,0.980376680143951,0.00992503222230921,0.00556782150268555,0.00234066363540441
"200:800","baseline",0.658769393611595,0.0880218199120513,0.959064892047448,0.015478311479751,0.803358751235399,0.0680409016947542,0.720564852870667,0.0681051034872382,0.792979260823329,0.0544379653516115,0.808917142829522,0.0445237425666021,0.666223854789171,0.0761628741075027,0.829712986181303,0.0550710527012356,0.949246230735224,0.0163870785930057,1.82428359985352e-05,5.46210384969189e-06
"200:800","borderline_smote",0.879473742549446,0.0516529219203942,0.896032240356843,0.0265949365335177,0.684159727453037,0.0643864012446484,0.767468631361491,0.0476665044936292,0.887202618167817,0.0283997229562059,0.887752991453144,0.0281428432044711,0.710060444995901,0.0564456004610706,0.924556139695658,0.0300109832945065,0.971795079699452,0.0117772675093108,0.00501456212997437,0.001440973551057
"200:800","da_smote",0.95684578826792,0.0318486799947406,0.864293058192386,0.0302525480048357,0.643532805404247,0.0596666059201369,0.76784017025959,0.0456178629204201,0.909134089130564,0.0224415616726855,0.910569423230153,0.0223279873892082,0.719332302569502,0.0507540908727409,0.927214086309475,0.0302930665022625,0.97401516596809,0.0112456323335353,0.0044895510673523,0.0011902913748955
"200:800","da_smote_penn",0.955786512587308,0.0338851980466891,0.862407799057112,0.0298744934428903,0.639936418523057,0.0583714307894565,0.76497081898281,0.044937411351897,0.90762021690233,0.022805139067694,0.90909715582221,0.0227610107982111,0.715834428871575,0.0503108062952234,0.773788039447757,0.0618216184764825,0.954205336615463,0.0137245170283482,0.0113560514450073,0.00434993331255671
"200:800","ld_smote",0.876623410704192,0.0514648588192293,0.890208949506725,0.0284290078779311,0.6720232231346,0.0664417928906666,0.758735992449067,0.0507638469883227,0.882899102798556,0.0299693019437735,0.883416180105459,0.0296450795350301,0.698952517979177,0.0606715591834517,0.899683330858126,0.0357383905065887,0.963572943254372,0.0138406151539893,0.00552703952789307,0.0017566730752937
"200:800","penn",0.660885157515959,0.0877088194566443,0.958878935257325,0.0154206298084291,0.803155471786484,0.0674617461943516,0.721766363301055,0.0673630562495005,0.794206438812837,0.0539979417795585,0.809882046386642,0.0443294689682701,0.667373167970079,0.0755028554835594,0.805617681888894,0.0641854809003939,0.948136687639033,0.0164385186026146,0.0042847752571106,0.00289226800146444
"200:800","smote",0.952696392358031,0.0327087897178537,0.873412614439941,0.0297318635477631,0.658524351587444,0.0616031645236231,0.777034646858498,0.0462876225163503,0.911927800832019,0.0222477382817401,0.913054503398986,0.0222056510923579,0.729505903128382,0.0519492498164605,0.935253570936078,0.0282707999931209,0.976858013507657,0.0103675811072602,0.00448332118988037,0.00257121103519724
"200:800","smote_enn",0.899397221514575,0.0442146021320055,0.805890717398272,0.0404275356216328,0.543356307358225,0.063548441842235,0.675007892786275,0.0516407387153589,0.850768158134603,0.0281603805275561,0.852643969456424,0.0280733799334493,0.600711854421601,0.0577909606508721,0.57855215037795,0.064334840080127,0.879804866854738,0.0260006560138491,0.0118847942352295,0.00319284587476256
"200:800","smote_tomek",0.959909135934631,0.0318443324205499,0.845645200259168,0.033291303004301,0.614298244339112,0.0613280796253639,0.747299298776928,0.0479321994650337,0.900665714521278,0.0232694870844183,0.9027771680969,0.0229971868797403,0.696122103208217,0.0525604679493964,0.868260503750469,0.0533410431621333,0.969356135493714,0.0124251979005711,0.00637984800338745,0.00215384116635048
"500:500","adasyn",0.871637060333393,0.0398814246780777,0.853570977385739,0.0351097053063934,0.85640332961343,0.0362788248386073,0.863402999159827,0.0312627737672662,0.862247768663345,0.0297123085409047,0.862604018859566,0.0296688401202842,0.725071976312436,0.0590452766813458,0.94492646535851,0.0191299467811231,0.941040531975096,0.0192233632062703,0.00160425615310669,0.00189070480370016
"500:500","baseline",0.862611005623912,0.0401405640700571,0.859031487040644,0.0344315123872542,0.859761237505141,0.0362450653731965,0.860689263476503,0.0322715908356203,0.86052760799835,0.0300822488006318,0.860821246332278,0.0300006780883921,0.721456020480228,0.0595662672150367,0.944398449157802,0.019366779658979,0.940477665711873,0.0193580438539054,1.89237594604492e-05,5.40737540613883e-06
"500:500","borderline_smote",0.867134667367732,0.0398147268594676,0.857825802995916,0.0342539737320214,0.859332067527217,0.0359112554411093,0.862726136182474,0.031902991812975,0.862192338221232,0.0301722523583867,0.862480235181824,0.0301149674028266,0.724707667326363,0.0599180724004136,0.945934325973129,0.019203452691352,0.941820742552975,0.0195219934494123,0.0011099328994751,0.00123461210676582
"500:500","da_smote",0.864139530435818,0.0399095779088285,0.857126260018928,0.0343998153522619,0.858348670952149,0.0361545575783593,0.860742464915872,0.032086472199481,0.86033867827096,0.0300216164628442,0.860632895227374,0.0299526769628136,0.721066682183672,0.0595184179045814,0.944291925950474,0.0193119391309209,0.940269991578515,0.0193416326152339,0.001103590965271,0.000869101265500691
"500:500","da_smote_penn",0.866775656694388,0.0393837699055668,0.856769184528615,0.0339715560181771,0.858411857739419,0.0356864879723388,0.862066788624969,0.0312933449537052,0.861463685641382,0.0292132930520433,0.861772420611501,0.029137463649292,0.723368287111513,0.0579048709473545,0.902608835867881,0.0333644135871946,0.92608773299116,0.0214930146665166,0.00544577932357788,0.00236056074565744
"500:500","ld_smote",0.862834990551676,0.0398740605990159,0.858884271990976,0.0342823632043182,0.859673339850689,0.0360712151496915,0.860762642691173,0.0320796983786004,0.860569877916581,0.0299303168474797,0.860859631271326,0.0298542689076039,0.721528563853132,0.0592881145194506,0.944633096495707,0.0192303029019519,0.940650009353012,0.0192885465354872,0.000536064147949219,0.000679053924077872
"500:500","penn",0.864929151597226,0.0395855955782239,0.858937147418002,0.0343939973334065,0.860033363502245,0.035969911060411,0.861969306931247,0.0316130438191036,0.861628986904226,0.0294768835127681,0.861933149507614,0.0293902208151374,0.723698561278506,0.0583445159550524,0.90288010868422,0.0333041373537434,0.926333740816375,0.0215101295691684,0.0047156171798706,0.00968687405423219
"500:500","smote",0.866364769132697,0.0398102206337913,0.857842234437751,0.0346774727418481,0.859260747487409,0.0361632285813789,0.862304624101793,0.0320014313162876,0.861809245069592,0.0301931928919746,0.862103501785224,0.0301266044837693,0.723997052033492,0.0598710184729225,0.945402548791522,0.0191583849235139,0.941393393090085,0.019398611851076,0.000463523387908936,0.000575137847519788
"500:500","smote_enn",0.831057042032193,0.0465174062238424,0.829182400246729,0.0411105315739303,0.830357182285066,0.0407416994843067,0.829846762079783,0.034632148723247,0.829582036038743,0.0323573225242906,0.830119721139461,0.0322541766216191,0.660362187901104,0.064241429095121,0.826813959674522,0.0384942226044444,0.856362266992971,0.0302295817412543,0.00540486145019531,0.00208066262158343
"500:500","smote_tomek",0.893744559800346,0.0360180738697266,0.815611245203929,0.040300091129196,0.829551196083673,0.0396662580554024,0.859942271204052,0.0319785362343061,0.85349021685533,0.0313693091436967,0.854677902502137,0.0311541559482515,0.711353818957441,0.062097578643467,0.915913748229841,0.030981930141062,0.930547864653374,0.022512079330399,0.00180263614654541,0.000638217409668748
"5:995","adasyn",0.984615384615385,0.123266710272274,0.942379349357022,0.0333999407522155,0.155347779622056,0.124624065769714,0.252438550164652,0.154841327691337,0.955224286388265,0.120773247086031,0.963497366986203,0.0602740050940252,0.362498118695841,0.132919316350826,0.983693683905313,0.10012049826014,0.999672005528969,0.00217188289565173,0.0064436883192796,0.00166960475619493
"5:995","baseline",0.0576923076923078,0.218586714936701,0.999766887814268,0.00106140493114133,0.666666666666667,0.379049021789452,0.733333333333333,0.254587538608658,0.0646663678867185,0.231470284481597,0.528729597753288,0.109102927361509,0.625035842490602,0.364294240757459,0.556945506520078,0.262861179749569,0.995491961716007,0.0040544873933189,1.81425534761869e-05,4.01117217002102e-06
"5:995","borderline_smote",0.984615384615385,0.123266710272274,0.947501252940232,0.0329959867047005,0.181466401234911,0.170331490754131,0.280504071467013,0.188794706468037,0.957863310442773,0.121076928414494,0.966058318777808,0.0605456135913035,0.387052056799644,0.160155768292931,0.981902985497843,0.101113033145554,0.999639485675927,0.00208801643922554,0.00685948078448956,0.0092222964442036
"5:995","da_smote",0.984615384615385,0.123266710272274,0.941465068610987,0.0340328143630449,0.154180344583228,0.125760465163436,0.250440240516961,0.155648620733806,0.954747278407759,0.120759919841344,0.963040226613186,0.0603039812739838,0.36054570929663,0.133813938466228,0.982504182898375,0.110016415827617,0.99962825003026,0.00291570519702276,0.00594770211439866,0.00137951888528722
"5:995","da_smote_penn",0.984615384615385,0.123266710272274,0.937833595198921,0.0354146385398883,0.146876724031411,0.123209640149384,0.239864228256833,0.153477985165179,0.952860154095027,0.120628685314389,0.961224489907153,0.0602705614016812,0.350687372317342,0.132469945457331,0.187643225345178,0.129568505051905,0.978819843414863,0.0106456034044973,0.0142900980435885,0.0102286609744715
"5:995","ld_smote",0.937435897435898,0.216694972217836,0.928757077874019,0.0459176644078557,0.138821608965499,0.132993263983791,0.229763383572882,0.166291474176299,0.911805317923325,0.196561221254383,0.933096487654958,0.109055997841336,0.326065707235652,0.156969384693639,0.76912792551782,0.337958540755034,0.987822517879114,0.0219696159468416,0.00825698412381686,0.00711295089723394
"5:995","penn",0.0576923076923078,0.218586714936701,0.999766887814268,0.00106140493114133,0.666666666666667,0.379049021789452,0.733333333333333,0.254587538608658,0.0646663678867185,0.231470284481597,0.528729597753288,0.109102927361509,0.625035842490602,0.364294240757459,0.556945506520078,0.262861179749569,0.995491961716007,0.0040544873933189,0.00390587733342097,0.00116491386680941
"5:995","smote",0.984615384615385,0.123266710272274,0.942611036788997,0.0327888223479752,0.154809419697315,0.124593043721568,0.25174359209991,0.15383255312068,0.955349436340386,0.120742426388241,0.963613210702191,0.0602049093423445,0.362089260138083,0.131996029258781,0.984310526599323,0.0980236630435491,0.999669408919229,0.00200971847336639,0.0060785777752216,0.00171379123148484
"5:995","smote_enn",1,0,0.886942542437858,0.124516762811062,0.102278172269334,0.101277517621624,0.173496929995162,0.13362989505594,0.934032988462926,0.120705214872769,0.943471271218929,0.0622583814055309,0.28657501255547,0.122349249428616,0.118988908877152,0.107847165179799,0.952200882502354,0.0610830063681729,0.0150170722374549,0.00949765257127098
"5:995","smote_tomek",0.984615384615385,0.123266710272274,0.938966532613265,0.0359123498756245,0.150266047496611,0.126408310726898,0.244403666154195,0.155667693740656,0.953439924775476,0.120743885138413,0.961790958614325,0.0604165327983989,0.354842431220178,0.134309484586008,0.6610606413252,0.294233612552376,0.996599275150762,0.00386326607755668,0.00833022557772123,0.00235955860567195
