"method","classifier","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"da_smote","knn",0.916660514768479,0.697436991218639,0.766508045113417,0.977544928063737,0.985944271219654
"da_smote","logit",0.815924511340589,0.600521374039395,0.620561269770388,0.765989712109907,0.879362940516975
"da_smote","rf",0.799512739081553,0.687195861612512,0.999812008046791,0.859747353393375,0.89999896608819
"da_smote","svm_rbf",0.901300734658886,0.609093721655133,0.834394603359752,0.994743495147945,0.998583389745548
"da_smote","xgb",0,0.4375,NA,0.372184247313887,0.5
"da_smote_penn","knn",0.911772395357407,0.694163787434781,0.757085869974289,0.83123167388734,0.954927277273772
"da_smote_penn","logit",0.818203039319354,0.603737885000419,0.618751638644863,0.761604290185179,0.879271678638938
"da_smote_penn","rf",0.784357647008826,0.677855285215744,0.933523363709627,0.850824235545877,0.897078429718172
"da_smote_penn","svm_rbf",0.980444001106603,0.715173815489608,0.957239803076429,0.979999562835531,0.99583627090787
"da_smote_penn","xgb",0,0.4375,NA,0.372184247313887,0.5
"penn","knn",0.813556816253151,0.638081478147938,0.738988381703498,0.851551180260132,0.942221533342891
"penn","logit",0.738842586570908,0.555367359998114,0.622706850528426,0.778473832332655,0.879289733667673
"penn","rf",0.795473466855624,0.684678914202234,0.983982885269077,0.85797683926562,0.899402512453527
"penn","svm_rbf",0.995516691692867,0.668425649671145,0.991805425235235,0.99922409109531,0.999723439512585
"penn","xgb",0,0.4375,NA,0.372184247313887,0.5
"smote","knn",0.917773103696618,0.699030107232618,0.768447335022067,0.979193420250014,0.986899724373988
"smote","logit",0.819670936645916,0.60741602489734,0.628432158159004,0.771831850607308,0.880163179852236
"smote","rf",0.799624745167372,0.687265716117396,0.999812008046791,0.859746136825945,0.899998498797808
"smote","svm_rbf",0.890018421723693,0.59073064885179,0.832270425399326,0.993676435246309,0.998208603845835
"smote","xgb",0,0.4375,NA,0.372184247313887,0.5
"smote_enn","knn",0.837599433986817,0.651626890022908,0.643929917359633,0.705561902098538,0.890751005281728
"smote_enn","logit",0.81670230619102,0.618620470149447,0.598652727832856,0.753408795755868,0.877938253004944
"smote_enn","rf",0.720599622978243,0.637199634987373,0.773252051044008,0.793427004301005,0.866581976580164
"smote_enn","svm_rbf",0.932072111864004,0.685042845097613,0.861205049255213,0.958992212387486,0.979533532417585
"smote_enn","xgb",0,0.4375,NA,0.372184247313887,0.5
