"dataset","method","classifier","TP_mean","TP_sd","TN_mean","TN_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd","n_train_original_mean","n_train_original_sd","n_train_final_mean","n_train_final_sd"
"attrition","borderline_smote","logit",34.6,0.763762615825973,219.04,1.83666364186079,28.36,1.75309250564063,12,0.577350269189626,0.742460684551341,0.0126592908378022,0.885366984458665,0.00709855575277794,0.549909895831672,0.0150189620160255,0.631677972009816,0.010621343477615,0.81072685432031,0.00643665400288674,0.813913834505003,0.00598343530741286,0.5591080200941,0.0125075580751758,0.740032083570676,0.00842648299292163,0.889707192646998,0.00219941478421793,0.0390513896942139,0.0034107872887376,1176,0.912870929175277,1964,1.82574185835055
"attrition","borderline_smote","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0390513896942139,0.0034107872887376,1176,0.912870929175277,1964,1.82574185835055
"attrition","borderline_smote","svm_rbf",15.72,5.42770669804476,247.4,0.5,0,0,30.88,5.19069680614591,0.336762257169288,0.114716290040155,1,0,1,0,0.493315232877509,0.128263367680782,0.571942511788703,0.100229010573478,0.668381128584644,0.0573581450200773,0.540187124723733,0.0996260434829732,0.992541688871257,0.00306024125198272,0.998592604857406,0.000601868165236172,0.0390513896942139,0.0034107872887376,1176,0.912870929175277,1964,1.82574185835055
"attrition","borderline_smote","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0390513896942139,0.0034107872887376,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote","knn",46.6,0.5,187.44,2.59935889531759,59.96,2.58972327994067,0,0,1,0,0.757640067911715,0.0104409891293063,0.437548450004805,0.011449035796141,0.608657670699458,0.0111016170857967,0.870405298566625,0.0060107662832818,0.878820033955857,0.00522049456465311,0.575752366565942,0.0114449801542455,0.999397506082501,0.00208539700401471,0.999797126256325,0.000702250001917337,0.0178995132446289,0.002763273143754,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote","logit",37.6,1.22474487139159,209.6,2.17944947177034,37.8,2.06155281280883,9,1.11803398874989,0.806845513413506,0.0242235294867198,0.847208436724566,0.00837308661549623,0.498907662278782,0.0179098440673353,0.616437433739708,0.0187117926469357,0.826692608322733,0.013912361057921,0.827026975069036,0.0136064556078819,0.54714011173488,0.0235227662960703,0.727320958022595,0.00911144652582172,0.904556973074405,0.00286581039060408,0.0178995132446289,0.002763273143754,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0178995132446289,0.002763273143754,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote","svm_rbf",16.6,8.21583836257749,247.4,0.5,0,0,30,8.17516564562048,0.356059204440333,0.175725850913208,1,0,1,0,0.502587103548889,0.183722697934278,0.57878981826773,0.148118585339099,0.678029602220167,0.0878629254566039,0.54875146451834,0.148761379288134,0.999633395506088,0.000398565417185771,0.999930702553769,7.4895288341153e-05,0.0178995132446289,0.002763273143754,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0178995132446289,0.002763273143754,1176,0.912870929175277,1964,1.82574185835055
"attrition","da_smote_penn","knn",46.6,0.5,183.64,3.32766184179422,63.76,3.19217793990247,0,0,1,0,0.742273736450307,0.0130220695431731,0.422593949755214,0.0134349396350553,0.593997323120341,0.01325132588023,0.861521379602847,0.00754493052165557,0.871136868225153,0.00651103477158653,0.560057306680515,0.01377898022351,0.59109923956313,0.0212334549985996,0.93465473479794,0.00549580744082267,0.34916600227356,0.0087511461222867,1176,0.912870929175277,1844.2,5.13160143944688
"attrition","da_smote_penn","logit",37.76,1.39283882771841,197.16,1.99332218503014,50.24,1.87705443004015,8.84,1.17898261225516,0.810212765957447,0.0260227048085549,0.796925688912107,0.00764360055896449,0.429134867375968,0.011635202237098,0.560997581948278,0.0145256535869221,0.803422351591966,0.0127817965346177,0.803569227434777,0.012870316561558,0.484249049727549,0.0197285313275187,0.70101356541899,0.0093447828285319,0.89625632625072,0.00335528585299284,0.34916600227356,0.0087511461222867,1176,0.912870929175277,1844.2,5.13160143944688
"attrition","da_smote_penn","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.34916600227356,0.0087511461222867,1176,0.912870929175277,1844.2,5.13160143944688
"attrition","da_smote_penn","svm_rbf",45.04,1.36869767784319,247.4,0.5,0,0,1.56,1.19303534454489,0.966475485661425,0.0256450077665705,1,0,1,0,0.982783296194204,0.0134757530425358,0.983010432103916,0.0131488290153585,0.983237742830712,0.0128225038832852,0.979962460118976,0.0154116674667323,0.999875185151843,0.000324715270620547,0.999975697749618,6.37801577791806e-05,0.34916600227356,0.0087511461222867,1176,0.912870929175277,1844.2,5.13160143944688
"attrition","da_smote_penn","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.34916600227356,0.0087511461222867,1176,0.912870929175277,1844.2,5.13160143944688
"attrition","ld_smote","knn",46.6,0.5,171.56,3.50095225141199,75.84,3.4602504726296,0,0,1,0,0.693450437508162,0.0140170396566968,0.380880558598936,0.011361953445736,0.551554553567196,0.0119333883896262,0.83269584443306,0.0084204718342333,0.846725218754081,0.00700851982834838,0.513920735816504,0.0128058380608061,0.998244285790286,0.00358784376802805,0.999344031937304,0.00134289599131617,0.0180217456817627,0.00842525648252275,1176,0.912870929175277,1964,1.82574185835055
"attrition","ld_smote","logit",35.12,0.92736184954957,213.24,1.98494332412792,34.16,1.99332218503014,11.48,0.714142842854285,0.753598519888992,0.0160140571685947,0.861925688912107,0.00802792414397305,0.507243936493835,0.0165839168721275,0.60624548965592,0.0152626474436316,0.805898780070592,0.00999492766867127,0.807762104400549,0.00959746552405745,0.52985995848476,0.0186557927628978,0.732065211348537,0.00663676527094064,0.895485881909343,0.00273344556206538,0.0180217456817627,0.00842525648252275,1176,0.912870929175277,1964,1.82574185835055
"attrition","ld_smote","rf",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0180217456817627,0.00842525648252275,1176,0.912870929175277,1964,1.82574185835055
"attrition","ld_smote","svm_rbf",26.72,7.96094634240595,245.56,2.14242852856286,1.84,2.2113344387496,19.88,7.79059261759549,0.572802960222017,0.169040029863065,0.992566932218885,0.0089358842381057,0.950672317550103,0.0486012049663141,0.696128648527163,0.119581254291256,0.74552654275699,0.109260052151514,0.782684946220451,0.0806190269918627,0.69602763762627,0.0955369174549242,0.942070876469288,0.00818098761768703,0.989260962954094,0.00154311888370009,0.0180217456817627,0.00842525648252275,1176,0.912870929175277,1964,1.82574185835055
"attrition","ld_smote","xgb",46.6,0.5,0,0,247.4,0.5,0,0,1,0,0,0,0.158500237487255,0.0012692129968606,0.273628057548607,0.00189202008458717,0,0,0.5,0,NA,NA,0.158500237487255,0.0012692129968606,0.5,0,0.0180217456817627,0.00842525648252275,1176,0.912870929175277,1964,1.82574185835055
