"dataset","split","classifier","parameters"
"glass0",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",8,"knn","k=3"
"glass0",8,"logit","dummy=1"
"glass0",8,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",9,"knn","k=3"
"glass0",9,"logit","dummy=1"
"glass0",9,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",10,"knn","k=3"
"glass0",10,"logit","dummy=1"
"glass0",10,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",11,"knn","k=3"
"glass0",11,"logit","dummy=1"
"glass0",11,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",12,"knn","k=3"
"glass0",12,"logit","dummy=1"
"glass0",12,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",13,"knn","k=3"
"glass0",13,"logit","dummy=1"
"glass0",13,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",14,"knn","k=3"
"glass0",14,"logit","dummy=1"
"glass0",14,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",15,"knn","k=3"
"glass0",15,"logit","dummy=1"
"glass0",15,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",16,"knn","k=3"
"glass0",16,"logit","dummy=1"
"glass0",16,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",17,"knn","k=3"
"glass0",17,"logit","dummy=1"
"glass0",17,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",18,"knn","k=3"
"glass0",18,"logit","dummy=1"
"glass0",18,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",19,"knn","k=3"
"glass0",19,"logit","dummy=1"
"glass0",19,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",20,"knn","k=3"
"glass0",20,"logit","dummy=1"
"glass0",20,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",21,"knn","k=3"
"glass0",21,"logit","dummy=1"
"glass0",21,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",22,"knn","k=3"
"glass0",22,"logit","dummy=1"
"glass0",22,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",23,"knn","k=3"
"glass0",23,"logit","dummy=1"
"glass0",23,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",24,"knn","k=3"
"glass0",24,"logit","dummy=1"
"glass0",24,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"glass0",25,"knn","k=3"
"glass0",25,"logit","dummy=1"
"glass0",25,"svm_rbf","cost=0.1; gamma=0.01"
"glass0",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"glass0",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",1,"knn","k=3"
"hacide",1,"logit","dummy=1"
"hacide",1,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",2,"knn","k=3"
"hacide",2,"logit","dummy=1"
"hacide",2,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",3,"knn","k=3"
"hacide",3,"logit","dummy=1"
"hacide",3,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",4,"knn","k=3"
"hacide",4,"logit","dummy=1"
"hacide",4,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",5,"knn","k=3"
"hacide",5,"logit","dummy=1"
"hacide",5,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",6,"knn","k=3"
"hacide",6,"logit","dummy=1"
"hacide",6,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",7,"knn","k=3"
"hacide",7,"logit","dummy=1"
"hacide",7,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",8,"knn","k=3"
"hacide",8,"logit","dummy=1"
"hacide",8,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",9,"knn","k=3"
"hacide",9,"logit","dummy=1"
"hacide",9,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",10,"knn","k=3"
"hacide",10,"logit","dummy=1"
"hacide",10,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",11,"knn","k=3"
"hacide",11,"logit","dummy=1"
"hacide",11,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",12,"knn","k=3"
"hacide",12,"logit","dummy=1"
"hacide",12,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",13,"knn","k=3"
"hacide",13,"logit","dummy=1"
"hacide",13,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",14,"knn","k=3"
"hacide",14,"logit","dummy=1"
"hacide",14,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",15,"knn","k=3"
"hacide",15,"logit","dummy=1"
"hacide",15,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",16,"knn","k=3"
"hacide",16,"logit","dummy=1"
"hacide",16,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",17,"knn","k=3"
"hacide",17,"logit","dummy=1"
"hacide",17,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",18,"knn","k=3"
"hacide",18,"logit","dummy=1"
"hacide",18,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",19,"knn","k=3"
"hacide",19,"logit","dummy=1"
"hacide",19,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",20,"knn","k=3"
"hacide",20,"logit","dummy=1"
"hacide",20,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",21,"knn","k=3"
"hacide",21,"logit","dummy=1"
"hacide",21,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",22,"knn","k=3"
"hacide",22,"logit","dummy=1"
"hacide",22,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",23,"knn","k=3"
"hacide",23,"logit","dummy=1"
"hacide",23,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",24,"knn","k=3"
"hacide",24,"logit","dummy=1"
"hacide",24,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"hacide",25,"knn","k=3"
"hacide",25,"logit","dummy=1"
"hacide",25,"svm_rbf","cost=0.1; gamma=0.01"
"hacide",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"hacide",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",1,"knn","k=3"
"vehicle2",1,"logit","dummy=1"
"vehicle2",1,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",2,"knn","k=3"
"vehicle2",2,"logit","dummy=1"
"vehicle2",2,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",3,"knn","k=3"
"vehicle2",3,"logit","dummy=1"
"vehicle2",3,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",4,"knn","k=3"
"vehicle2",4,"logit","dummy=1"
"vehicle2",4,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",5,"knn","k=3"
"vehicle2",5,"logit","dummy=1"
"vehicle2",5,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",6,"knn","k=3"
"vehicle2",6,"logit","dummy=1"
"vehicle2",6,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",7,"knn","k=3"
"vehicle2",7,"logit","dummy=1"
"vehicle2",7,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",8,"knn","k=3"
"vehicle2",8,"logit","dummy=1"
"vehicle2",8,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",9,"knn","k=3"
"vehicle2",9,"logit","dummy=1"
"vehicle2",9,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",10,"knn","k=3"
"vehicle2",10,"logit","dummy=1"
"vehicle2",10,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",11,"knn","k=3"
"vehicle2",11,"logit","dummy=1"
"vehicle2",11,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",12,"knn","k=3"
"vehicle2",12,"logit","dummy=1"
"vehicle2",12,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",13,"knn","k=3"
"vehicle2",13,"logit","dummy=1"
"vehicle2",13,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",14,"knn","k=3"
"vehicle2",14,"logit","dummy=1"
"vehicle2",14,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",15,"knn","k=3"
"vehicle2",15,"logit","dummy=1"
"vehicle2",15,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",16,"knn","k=3"
"vehicle2",16,"logit","dummy=1"
"vehicle2",16,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",17,"knn","k=3"
"vehicle2",17,"logit","dummy=1"
"vehicle2",17,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",18,"knn","k=3"
"vehicle2",18,"logit","dummy=1"
"vehicle2",18,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",19,"knn","k=3"
"vehicle2",19,"logit","dummy=1"
"vehicle2",19,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",20,"knn","k=3"
"vehicle2",20,"logit","dummy=1"
"vehicle2",20,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",21,"knn","k=3"
"vehicle2",21,"logit","dummy=1"
"vehicle2",21,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",22,"knn","k=3"
"vehicle2",22,"logit","dummy=1"
"vehicle2",22,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",23,"knn","k=3"
"vehicle2",23,"logit","dummy=1"
"vehicle2",23,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",24,"knn","k=3"
"vehicle2",24,"logit","dummy=1"
"vehicle2",24,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"vehicle2",25,"knn","k=3"
"vehicle2",25,"logit","dummy=1"
"vehicle2",25,"svm_rbf","cost=0.1; gamma=1"
"vehicle2",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"vehicle2",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",1,"knn","k=3"
"pima",1,"logit","dummy=1"
"pima",1,"svm_rbf","cost=10; gamma=1"
"pima",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",2,"knn","k=3"
"pima",2,"logit","dummy=1"
"pima",2,"svm_rbf","cost=10; gamma=1"
"pima",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",3,"knn","k=3"
"pima",3,"logit","dummy=1"
"pima",3,"svm_rbf","cost=10; gamma=1"
"pima",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",4,"knn","k=3"
"pima",4,"logit","dummy=1"
"pima",4,"svm_rbf","cost=10; gamma=1"
"pima",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",5,"knn","k=3"
"pima",5,"logit","dummy=1"
"pima",5,"svm_rbf","cost=10; gamma=1"
"pima",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",6,"knn","k=3"
"pima",6,"logit","dummy=1"
"pima",6,"svm_rbf","cost=10; gamma=1"
"pima",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",7,"knn","k=3"
"pima",7,"logit","dummy=1"
"pima",7,"svm_rbf","cost=10; gamma=1"
"pima",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",8,"knn","k=3"
"pima",8,"logit","dummy=1"
"pima",8,"svm_rbf","cost=10; gamma=1"
"pima",8,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",9,"knn","k=3"
"pima",9,"logit","dummy=1"
"pima",9,"svm_rbf","cost=10; gamma=1"
"pima",9,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",10,"knn","k=3"
"pima",10,"logit","dummy=1"
"pima",10,"svm_rbf","cost=10; gamma=1"
"pima",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",11,"knn","k=3"
"pima",11,"logit","dummy=1"
"pima",11,"svm_rbf","cost=10; gamma=1"
"pima",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",12,"knn","k=3"
"pima",12,"logit","dummy=1"
"pima",12,"svm_rbf","cost=10; gamma=1"
"pima",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",13,"knn","k=3"
"pima",13,"logit","dummy=1"
"pima",13,"svm_rbf","cost=10; gamma=1"
"pima",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",14,"knn","k=3"
"pima",14,"logit","dummy=1"
"pima",14,"svm_rbf","cost=10; gamma=1"
"pima",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",15,"knn","k=3"
"pima",15,"logit","dummy=1"
"pima",15,"svm_rbf","cost=10; gamma=1"
"pima",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"pima",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"pima",16,"knn","k=3"
"pima",16,"logit","dummy=1"
"pima",16,"svm_rbf","cost=10; gamma=1"
