"dataset","split","classifier","parameters"
"attrition",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",18,"knn","k=3"
"attrition",18,"logit","dummy=1"
"attrition",18,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",19,"knn","k=3"
"attrition",19,"logit","dummy=1"
"attrition",19,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",20,"knn","k=3"
"attrition",20,"logit","dummy=1"
"attrition",20,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",21,"knn","k=3"
"attrition",21,"logit","dummy=1"
"attrition",21,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",21,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",22,"knn","k=3"
"attrition",22,"logit","dummy=1"
"attrition",22,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",23,"knn","k=3"
"attrition",23,"logit","dummy=1"
"attrition",23,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",23,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",24,"knn","k=3"
"attrition",24,"logit","dummy=1"
"attrition",24,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"attrition",25,"knn","k=3"
"attrition",25,"logit","dummy=1"
"attrition",25,"svm_rbf","cost=0.1; gamma=0.1"
"attrition",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"attrition",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",1,"knn","k=3"
"credit_data",1,"logit","dummy=1"
"credit_data",1,"svm_rbf","cost=10; gamma=1"
"credit_data",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",2,"knn","k=3"
"credit_data",2,"logit","dummy=1"
"credit_data",2,"svm_rbf","cost=10; gamma=1"
"credit_data",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",3,"knn","k=3"
"credit_data",3,"logit","dummy=1"
"credit_data",3,"svm_rbf","cost=10; gamma=1"
"credit_data",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",4,"knn","k=3"
"credit_data",4,"logit","dummy=1"
"credit_data",4,"svm_rbf","cost=10; gamma=1"
"credit_data",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",5,"knn","k=3"
"credit_data",5,"logit","dummy=1"
"credit_data",5,"svm_rbf","cost=10; gamma=1"
"credit_data",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",6,"knn","k=3"
"credit_data",6,"logit","dummy=1"
"credit_data",6,"svm_rbf","cost=10; gamma=1"
"credit_data",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",7,"knn","k=3"
"credit_data",7,"logit","dummy=1"
"credit_data",7,"svm_rbf","cost=10; gamma=1"
"credit_data",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",8,"knn","k=3"
"credit_data",8,"logit","dummy=1"
"credit_data",8,"svm_rbf","cost=10; gamma=1"
"credit_data",8,"rf","num.trees=500; mtry_frac=0.4; min.node.size=1"
"credit_data",8,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",9,"knn","k=3"
"credit_data",9,"logit","dummy=1"
"credit_data",9,"svm_rbf","cost=10; gamma=1"
"credit_data",9,"rf","num.trees=500; mtry_frac=0.4; min.node.size=1"
"credit_data",9,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",10,"knn","k=3"
"credit_data",10,"logit","dummy=1"
"credit_data",10,"svm_rbf","cost=10; gamma=1"
"credit_data",10,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",10,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",11,"knn","k=3"
"credit_data",11,"logit","dummy=1"
"credit_data",11,"svm_rbf","cost=10; gamma=1"
"credit_data",11,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",11,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",12,"knn","k=3"
"credit_data",12,"logit","dummy=1"
"credit_data",12,"svm_rbf","cost=10; gamma=1"
"credit_data",12,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",12,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",13,"knn","k=3"
"credit_data",13,"logit","dummy=1"
"credit_data",13,"svm_rbf","cost=10; gamma=1"
"credit_data",13,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",13,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",14,"knn","k=3"
"credit_data",14,"logit","dummy=1"
"credit_data",14,"svm_rbf","cost=10; gamma=1"
"credit_data",14,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",14,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",15,"knn","k=3"
"credit_data",15,"logit","dummy=1"
"credit_data",15,"svm_rbf","cost=10; gamma=1"
"credit_data",15,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",15,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",16,"knn","k=3"
"credit_data",16,"logit","dummy=1"
"credit_data",16,"svm_rbf","cost=10; gamma=1"
"credit_data",16,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",16,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",17,"knn","k=3"
"credit_data",17,"logit","dummy=1"
"credit_data",17,"svm_rbf","cost=10; gamma=1"
"credit_data",17,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",17,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",18,"knn","k=3"
"credit_data",18,"logit","dummy=1"
"credit_data",18,"svm_rbf","cost=10; gamma=1"
"credit_data",18,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",18,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",19,"knn","k=3"
"credit_data",19,"logit","dummy=1"
"credit_data",19,"svm_rbf","cost=10; gamma=1"
"credit_data",19,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",19,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",20,"knn","k=3"
"credit_data",20,"logit","dummy=1"
"credit_data",20,"svm_rbf","cost=10; gamma=1"
"credit_data",20,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",20,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",21,"knn","k=3"
"credit_data",21,"logit","dummy=1"
"credit_data",21,"svm_rbf","cost=10; gamma=1"
"credit_data",21,"rf","num.trees=500; mtry_frac=0.4; min.node.size=1"
"credit_data",21,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",22,"knn","k=3"
"credit_data",22,"logit","dummy=1"
"credit_data",22,"svm_rbf","cost=10; gamma=1"
"credit_data",22,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",22,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",23,"knn","k=3"
"credit_data",23,"logit","dummy=1"
"credit_data",23,"svm_rbf","cost=10; gamma=1"
"credit_data",23,"rf","num.trees=500; mtry_frac=0.4; min.node.size=1"
"credit_data",23,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",24,"knn","k=3"
"credit_data",24,"logit","dummy=1"
"credit_data",24,"svm_rbf","cost=10; gamma=1"
"credit_data",24,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",24,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"credit_data",25,"knn","k=3"
"credit_data",25,"logit","dummy=1"
"credit_data",25,"svm_rbf","cost=10; gamma=1"
"credit_data",25,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"credit_data",25,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",1,"knn","k=3"
"newthyroid1",1,"logit","dummy=1"
"newthyroid1",1,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",1,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",1,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",2,"knn","k=3"
"newthyroid1",2,"logit","dummy=1"
"newthyroid1",2,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",2,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",2,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",3,"knn","k=3"
"newthyroid1",3,"logit","dummy=1"
"newthyroid1",3,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",3,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",3,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",4,"knn","k=3"
"newthyroid1",4,"logit","dummy=1"
"newthyroid1",4,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",4,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",4,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",5,"knn","k=3"
"newthyroid1",5,"logit","dummy=1"
"newthyroid1",5,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",5,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",5,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",6,"knn","k=3"
"newthyroid1",6,"logit","dummy=1"
"newthyroid1",6,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",6,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",6,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",7,"knn","k=3"
"newthyroid1",7,"logit","dummy=1"
"newthyroid1",7,"svm_rbf","cost=0.1; gamma=0.01"
"newthyroid1",7,"rf","num.trees=500; mtry_frac=0.2; min.node.size=1"
"newthyroid1",7,"xgb","max_depth=3; eta=0.03; nrounds=150; subsample=0.8; colsample_bytree=0.8; min_child_weight=1"
"newthyroid1",8,"knn","k=3"
"newthyroid1",8,"logit","dummy=1"
"newthyroid1",8,"svm_rbf","cost=0.1; gamma=0.01"
