"classifier","metric","statistic","p_value"
"knn","AUPRC",33.0910470409712,0.00012876400580265
"logit","AUPRC",20.9432432432432,0.0129048269197203
"rf","AUPRC",25.3482352941177,0.00260917343843215
"svm_rbf","AUPRC",18.4925373134328,0.0298706463036677
"xgb","AUPRC",NA,NA
