"dataset","split","method","classifier","runtime_seconds","n_train_original","n_train_final","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"attrition",1,"smote_enn","knn",0.348934888839722,1175,1542,47,138,110,0,1,0.556451612903226,0.299363057324841,0.46078431372549,0.745956843861108,0.778225806451613,0.408143425883657,0.394957983193277,0.854838709677419
"attrition",1,"smote_enn","logit",0.348934888839722,1175,1542,42,179,69,5,0.893617021276596,0.721774193548387,0.378378378378378,0.531645569620253,0.803112510718783,0.807695607412491,0.464895840564747,0.664515735131331,0.89241592312972
"attrition",1,"smote_enn","svm_rbf",0.348934888839722,1175,1542,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",1,"smote_enn","rf",0.348934888839722,1175,1542,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"smote_enn","xgb",0.348934888839722,1175,1542,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"da_smote","knn",0.0261929035186768,1175,1962,47,187,61,0,1,0.754032258064516,0.435185185185185,0.606451612903226,0.868350308380504,0.877016129032258,0.572838256283054,1,1
"attrition",1,"da_smote","logit",0.0261929035186768,1175,1962,38,212,36,9,0.808510638297872,0.854838709677419,0.513513513513513,0.628099173553719,0.831352025800755,0.831674673987646,0.560021988429979,0.74019126080356,0.907429649965685
"attrition",1,"da_smote","svm_rbf",0.0261929035186768,1175,1962,20,248,0,27,0.425531914893617,1,1,0.597014925373134,0.652328073053442,0.712765957446808,0.619477536150401,1,1
"attrition",1,"da_smote","rf",0.0261929035186768,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"da_smote","xgb",0.0261929035186768,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"penn","knn",0.175687074661255,1175,1175,21,247,1,26,0.446808510638298,0.995967741935484,0.954545454545455,0.608695652173913,0.667088347535753,0.721388126286891,0.61683133218343,0.759686643759527,0.936770761839396
"attrition",1,"penn","logit",0.175687074661255,1175,1175,26,241,7,21,0.553191489361702,0.971774193548387,0.787878787878788,0.65,0.733196572177134,0.762482841455045,0.609534185968145,0.762596292866375,0.896019217570352
"attrition",1,"penn","svm_rbf",0.175687074661255,1175,1175,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",1,"penn","rf",0.175687074661255,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"penn","xgb",0.175687074661255,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"ld_smote","knn",0.0574150085449219,1175,1962,47,175,73,0,1,0.705645161290323,0.391666666666667,0.562874251497006,0.840026881290309,0.852822580645161,0.525716357147125,1,1
"attrition",1,"ld_smote","logit",0.0574150085449219,1175,1962,36,216,32,11,0.765957446808511,0.870967741935484,0.529411764705882,0.626086956521739,0.816776730732137,0.818462594371997,0.553472196197734,0.739490971942401,0.89413177762526
"attrition",1,"ld_smote","svm_rbf",0.0574150085449219,1175,1962,41,243,5,6,0.872340425531915,0.979838709677419,0.891304347826087,0.881720430107527,0.924528483581032,0.926089567604667,0.859660707108193,0.947211578733344,0.989447494852437
"attrition",1,"ld_smote","rf",0.0574150085449219,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"ld_smote","xgb",0.0574150085449219,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"da_smote_penn","knn",0.345590114593506,1175,1842,47,188,60,0,1,0.758064516129032,0.439252336448598,0.61038961038961,0.870669004920373,0.879032258064516,0.577045587357232,0.59493670886076,0.935483870967742
"attrition",1,"da_smote_penn","logit",0.345590114593506,1175,1842,38,200,48,9,0.808510638297872,0.806451612903226,0.441860465116279,0.571428571428571,0.807480469302345,0.807481125600549,0.495223059138525,0.702189482773057,0.897391901166783
"attrition",1,"da_smote_penn","svm_rbf",0.345590114593506,1175,1842,46,248,0,1,0.978723404255319,1,1,0.989247311827957,0.989304505324483,0.98936170212766,0.987315951544374,1,1
"attrition",1,"da_smote_penn","rf",0.345590114593506,1175,1842,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",1,"da_smote_penn","xgb",0.345590114593506,1175,1842,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"baseline","knn",4.91142272949219e-05,1175,1175,21,247,1,26,0.446808510638298,0.995967741935484,0.954545454545455,0.608695652173913,0.667088347535753,0.721388126286891,0.61683133218343,0.759686643759527,0.936770761839396
"attrition",2,"baseline","logit",4.91142272949219e-05,1175,1175,26,241,7,21,0.553191489361702,0.971774193548387,0.787878787878788,0.65,0.733196572177134,0.762482841455045,0.609534185968145,0.762596292866375,0.896019217570352
"attrition",2,"baseline","svm_rbf",4.91142272949219e-05,1175,1175,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",2,"baseline","rf",4.91142272949219e-05,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"baseline","xgb",4.91142272949219e-05,1175,1175,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote","knn",0.012559175491333,1175,1962,47,185,63,0,1,0.745967741935484,0.427272727272727,0.598726114649682,0.863694240999374,0.872983870967742,0.564563257354083,1,1
"attrition",2,"smote","logit",0.012559175491333,1175,1962,37,212,36,10,0.787234042553192,0.854838709677419,0.506849315068493,0.616666666666667,0.820340254498284,0.821036376115305,0.544529098070804,0.746300906339389,0.901080988332191
"attrition",2,"smote","svm_rbf",0.012559175491333,1175,1962,9,248,0,38,0.191489361702128,1,1,0.321428571428571,0.437594974493684,0.595744680851064,0.407488305645952,0.997158906539904,0.999485243651338
"attrition",2,"smote","rf",0.012559175491333,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote","xgb",0.012559175491333,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"adasyn","knn",0.0400278568267822,1175,1962,47,187,61,0,1,0.754032258064516,0.435185185185185,0.606451612903226,0.868350308380504,0.877016129032258,0.572838256283054,1,1
"attrition",2,"adasyn","logit",0.0400278568267822,1175,1962,38,208,40,9,0.808510638297872,0.838709677419355,0.487179487179487,0.608,0.823471733963544,0.823610157858614,0.53709330902791,0.72378616536376,0.905971173644477
"attrition",2,"adasyn","svm_rbf",0.0400278568267822,1175,1962,11,248,0,36,0.234042553191489,1,1,0.379310344827586,0.483779446846897,0.617021276595745,0.452078740148192,0.998626839975796,0.999742621825669
"attrition",2,"adasyn","rf",0.0400278568267822,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"adasyn","xgb",0.0400278568267822,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"borderline_smote","knn",0.0386300086975098,1175,1962,44,191,57,3,0.936170212765957,0.770161290322581,0.435643564356436,0.594594594594595,0.849118401063947,0.853165751544269,0.544780801344094,0.943693638776715,0.974176389842141
"attrition",2,"borderline_smote","logit",0.0386300086975098,1175,1962,35,220,28,12,0.74468085106383,0.887096774193548,0.555555555555556,0.636363636363636,0.812775479934299,0.815888812628689,0.564189167351588,0.738065891003658,0.889842141386413
"attrition",2,"borderline_smote","svm_rbf",0.0386300086975098,1175,1962,23,248,0,24,0.48936170212766,1,1,0.657142857142857,0.699543924373345,0.74468085106383,0.667969107377365,0.990277746854868,0.998112560054907
"attrition",2,"borderline_smote","rf",0.0386300086975098,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"borderline_smote","xgb",0.0386300086975098,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote_tomek","knn",0.256048917770386,1175,1962,47,186,62,0,1,0.75,0.431192660550459,0.602564102564103,0.866025403784439,0.875,0.568677848533635,1,1
"attrition",2,"smote_tomek","logit",0.256048917770386,1175,1962,37,212,36,10,0.787234042553192,0.854838709677419,0.506849315068493,0.616666666666667,0.820340254498284,0.821036376115305,0.544529098070804,0.74940499739113,0.903568977350723
"attrition",2,"smote_tomek","svm_rbf",0.256048917770386,1175,1962,9,248,0,38,0.191489361702128,1,1,0.321428571428571,0.437594974493684,0.595744680851064,0.407488305645952,0.999094476288962,0.999828414550446
"attrition",2,"smote_tomek","rf",0.256048917770386,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote_tomek","xgb",0.256048917770386,1175,1962,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote_enn","knn",0.347322940826416,1175,1535,47,135,113,0,1,0.544354838709677,0.29375,0.454106280193237,0.737804065256947,0.772177419354839,0.399880274420942,0.412280701754386,0.86491935483871
"attrition",2,"smote_enn","logit",0.347322940826416,1175,1535,42,176,72,5,0.893617021276596,0.709677419354839,0.368421052631579,0.521739130434782,0.796354080513896,0.801647220315717,0.453432222698802,0.649744130318955,0.88598146877145
"attrition",2,"smote_enn","svm_rbf",0.347322940826416,1175,1535,47,248,0,0,1,1,1,1,1,1,1,1,1
"attrition",2,"smote_enn","rf",0.347322940826416,1175,1535,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"smote_enn","xgb",0.347322940826416,1175,1535,47,0,248,0,1,0,0.159322033898305,0.274853801169591,0,0.5,NA,0.159322033898305,0.5
"attrition",2,"da_smote","knn",0.0168540477752686,1175,1962,47,181,67,0,1,0.729838709677419,0.412280701754386,0.583850931677019,0.854305981295589,0.86491935483871,0.548542081697769,1,1
"attrition",2,"da_smote","logit",0.0168540477752686,1175,1962,39,213,35,8,0.829787234042553,0.858870967741935,0.527027027027027,0.644628099173554,0.844203864432065,0.844329100892244,0.581388580073389,0.734222418461839,0.905713795470146
