"dataset","alpha","beta","k_smote","k_enn","primary_metric"
"attrition",0.75,0,5,5,0.627552286006796
"attrition",0.75,0,5,7,0.614921179348703
"attrition",0.75,0,7,3,0.598109174530139
"attrition",0.75,0,7,5,0.62446427019115
"attrition",0.75,0,7,7,0.608451494776901
"attrition",0.75,0.05,3,3,0.61213711625898
"attrition",0.75,0.05,3,5,0.620786792456372
"attrition",0.75,0.05,3,7,0.606941157854095
"attrition",0.75,0.05,5,3,0.615676613815302
"attrition",0.75,0.05,5,5,0.638475715166635
"attrition",0.75,0.05,5,7,0.611991473589912
"attrition",0.75,0.05,7,3,0.600577257021097
"attrition",0.75,0.05,7,5,0.624932598410883
"attrition",0.75,0.05,7,7,0.617698894819379
"attrition",0.75,0.1,3,3,0.605218544394679
"attrition",0.75,0.1,3,5,0.623526892644986
"attrition",0.75,0.1,3,7,0.61679828519141
"attrition",0.75,0.1,5,3,0.61134750020637
"attrition",0.75,0.1,5,5,0.624492197662274
"attrition",0.75,0.1,5,7,0.619486231942154
"attrition",0.75,0.1,7,3,0.610413221176083
"attrition",0.75,0.1,7,5,0.625334828906104
"attrition",0.75,0.1,7,7,0.610978768820008
"attrition",0.75,0.15,3,3,0.604829319033597
"attrition",0.75,0.15,3,5,0.623023549448568
"attrition",0.75,0.15,3,7,0.605912658982508
"attrition",0.75,0.15,5,3,0.606535797842375
"attrition",0.75,0.15,5,5,0.630322840902409
"attrition",0.75,0.15,5,7,0.617679045188044
"attrition",0.75,0.15,7,3,0.610167659519236
"attrition",0.75,0.15,7,5,0.61887326540617
"attrition",0.75,0.15,7,7,0.612884661756905
"attrition",0.75,0.2,3,3,0.613921901909629
"attrition",0.75,0.2,3,5,0.62684605760994
"attrition",0.75,0.2,3,7,0.609835947480715
"attrition",0.75,0.2,5,3,0.616443109893977
"attrition",0.75,0.2,5,5,0.637600763922564
"attrition",0.75,0.2,5,7,0.607169943642648
"attrition",0.75,0.2,7,3,0.604061557498142
"attrition",0.75,0.2,7,5,0.629341368034913
"attrition",0.75,0.2,7,7,0.611126699831035
"attrition",0.75,0.25,3,3,0.616500705846544
"attrition",0.75,0.25,3,5,0.618506495515474
"attrition",0.75,0.25,3,7,0.621258413970138
"attrition",0.75,0.25,5,3,0.609164312110802
"attrition",0.75,0.25,5,5,0.621927489345131
"attrition",0.75,0.25,5,7,0.608418348239705
"attrition",0.75,0.25,7,3,0.616938511312383
"attrition",0.75,0.25,7,5,0.628288564186869
"attrition",0.75,0.25,7,7,0.601736251795751
"attrition",1,0,3,3,0.563629106518726
"attrition",1,0,3,5,0.584516341567587
"attrition",1,0,3,7,0.554090753795535
"attrition",1,0,5,3,0.559627367928031
"attrition",1,0,5,5,0.586013044407712
"attrition",1,0,5,7,0.557505983986181
"attrition",1,0,7,3,0.550714917287094
"attrition",1,0,7,5,0.568542116595315
"attrition",1,0,7,7,0.552654491435268
"attrition",1,0.05,3,3,0.557088283589295
"attrition",1,0.05,3,5,0.578359811497282
"attrition",1,0.05,3,7,0.555084591246888
"attrition",1,0.05,5,3,0.556447226364839
"attrition",1,0.05,5,5,0.569311344992832
"attrition",1,0.05,5,7,0.558117303397601
"attrition",1,0.05,7,3,0.550955933146801
"attrition",1,0.05,7,5,0.571914270025378
"attrition",1,0.05,7,7,0.541731719184378
"attrition",1,0.1,3,3,0.559946282908149
"attrition",1,0.1,3,5,0.580514490131353
"attrition",1,0.1,3,7,0.557285795784199
"attrition",1,0.1,5,3,0.557169464160359
"attrition",1,0.1,5,5,0.5797394482741
"attrition",1,0.1,5,7,0.556744627332425
"attrition",1,0.1,7,3,0.54538976465135
"attrition",1,0.1,7,5,0.573784361772358
"attrition",1,0.1,7,7,0.543338016116122
"attrition",1,0.15,3,3,0.556227020635827
"attrition",1,0.15,3,5,0.577658592359679
"attrition",1,0.15,3,7,0.55048074213683
"attrition",1,0.15,5,3,0.550676702108107
"attrition",1,0.15,5,5,0.580978638691132
"attrition",1,0.15,5,7,0.553556384396809
"attrition",1,0.15,7,3,0.550331169399987
"attrition",1,0.15,7,5,0.573879575116829
"attrition",1,0.15,7,7,0.5429830203786
"attrition",1,0.2,3,3,0.554694295934155
"attrition",1,0.2,3,5,0.581006403620823
"attrition",1,0.2,3,7,0.553163615443364
"attrition",1,0.2,5,3,0.551949688703761
"attrition",1,0.2,5,5,0.572972452944369
"attrition",1,0.2,5,7,0.555489542885576
"attrition",1,0.2,7,3,0.547383561493405
"attrition",1,0.2,7,5,0.571265583910895
"attrition",1,0.2,7,7,0.552881932290015
"attrition",1,0.25,3,3,0.556578835897771
"attrition",1,0.25,3,5,0.586991527309732
"attrition",1,0.25,3,7,0.553159747922225
"attrition",1,0.25,5,3,0.556829809320567
"attrition",1,0.25,5,5,0.584844832388683
"attrition",1,0.25,5,7,0.556369479660255
"attrition",1,0.25,7,3,0.553608834095658
"attrition",1,0.25,7,5,0.575465056653643
"attrition",1,0.25,7,7,0.548481342768819
"credit_data",0.25,0,3,3,0.69544459195778
"credit_data",0.25,0,3,5,0.694697382162292
"credit_data",0.25,0,3,7,0.69906932922554
"credit_data",0.25,0,5,3,0.69544459195778
"credit_data",0.25,0,5,5,0.694697382162292
"credit_data",0.25,0,5,7,0.69906932922554
"credit_data",0.25,0,7,3,0.69544459195778
"credit_data",0.25,0,7,5,0.694697382162292
"credit_data",0.25,0,7,7,0.69906932922554
"credit_data",0.25,0.05,3,3,0.69544459195778
"credit_data",0.25,0.05,3,5,0.694697382162292
"credit_data",0.25,0.05,3,7,0.69906932922554
"credit_data",0.25,0.05,5,3,0.69544459195778
"credit_data",0.25,0.05,5,5,0.694697382162292
"credit_data",0.25,0.05,5,7,0.69906932922554
"credit_data",0.25,0.05,7,3,0.69544459195778
"credit_data",0.25,0.05,7,5,0.694697382162292
"credit_data",0.25,0.05,7,7,0.69906932922554
"credit_data",0.25,0.1,3,3,0.69544459195778
"credit_data",0.25,0.1,3,5,0.694697382162292
"credit_data",0.25,0.1,3,7,0.69906932922554
"credit_data",0.25,0.1,5,3,0.69544459195778
"credit_data",0.25,0.1,5,5,0.694697382162292
"credit_data",0.25,0.1,5,7,0.69906932922554
"credit_data",0.25,0.1,7,3,0.69544459195778
"credit_data",0.25,0.1,7,5,0.694697382162292
"credit_data",0.25,0.1,7,7,0.69906932922554
"credit_data",0.25,0.15,3,3,0.69544459195778
"credit_data",0.25,0.15,3,5,0.694697382162292
"credit_data",0.25,0.15,3,7,0.69906932922554
"credit_data",0.25,0.15,5,3,0.69544459195778
"credit_data",0.25,0.15,5,5,0.694697382162292
"credit_data",0.25,0.15,5,7,0.69906932922554
"credit_data",0.25,0.15,7,3,0.69544459195778
"credit_data",0.25,0.15,7,5,0.694697382162292
"credit_data",0.25,0.15,7,7,0.69906932922554
"credit_data",0.25,0.2,3,3,0.69544459195778
"credit_data",0.25,0.2,3,5,0.694697382162292
"credit_data",0.25,0.2,3,7,0.69906932922554
"credit_data",0.25,0.2,5,3,0.69544459195778
"credit_data",0.25,0.2,5,5,0.694697382162292
"credit_data",0.25,0.2,5,7,0.69906932922554
"credit_data",0.25,0.2,7,3,0.69544459195778
"credit_data",0.25,0.2,7,5,0.694697382162292
"credit_data",0.25,0.2,7,7,0.69906932922554
"credit_data",0.25,0.25,3,3,0.69544459195778
"credit_data",0.25,0.25,3,5,0.694697382162292
"credit_data",0.25,0.25,3,7,0.69906932922554
"credit_data",0.25,0.25,5,3,0.69544459195778
"credit_data",0.25,0.25,5,5,0.694697382162292
"credit_data",0.25,0.25,5,7,0.69906932922554
"credit_data",0.25,0.25,7,3,0.69544459195778
"credit_data",0.25,0.25,7,5,0.694697382162292
"credit_data",0.25,0.25,7,7,0.69906932922554
"credit_data",0.5,0,3,3,0.689384433779743
"credit_data",0.5,0,3,5,0.701284549236208
"credit_data",0.5,0,3,7,0.69586405657223
"credit_data",0.5,0,5,3,0.690923540100495
"credit_data",0.5,0,5,5,0.702567862496602
"credit_data",0.5,0,5,7,0.696286497017274
"credit_data",0.5,0,7,3,0.688649307226997
"credit_data",0.5,0,7,5,0.704196665051419
"credit_data",0.5,0,7,7,0.698472169606901
"credit_data",0.5,0.05,3,3,0.69010666834929
"credit_data",0.5,0.05,3,5,0.698974460791633
"credit_data",0.5,0.05,3,7,0.697595366975202
"credit_data",0.5,0.05,5,3,0.686168396395988
"credit_data",0.5,0.05,5,5,0.699059137616561
"credit_data",0.5,0.05,5,7,0.699708079050186
"credit_data",0.5,0.05,7,3,0.690079838587129
"credit_data",0.5,0.05,7,5,0.704122676568199
"credit_data",0.5,0.05,7,7,0.695449255351878
"credit_data",0.5,0.1,3,3,0.689992526176579
"credit_data",0.5,0.1,3,5,0.697133913218311
"credit_data",0.5,0.1,3,7,0.696004515323412
"credit_data",0.5,0.1,5,3,0.691144685581078
"credit_data",0.5,0.1,5,5,0.697443179696502
"credit_data",0.5,0.1,5,7,0.690341601124648
"credit_data",0.5,0.1,7,3,0.69218025272579
"credit_data",0.5,0.1,7,5,0.704557551896581
"credit_data",0.5,0.1,7,7,0.698868554923323
"credit_data",0.5,0.15,3,3,0.688665440004962
"credit_data",0.5,0.15,3,5,0.699424119402997
"credit_data",0.5,0.15,3,7,0.691102058811424
"credit_data",0.5,0.15,5,3,0.689965183865741
"credit_data",0.5,0.15,5,5,0.695105852673542
"credit_data",0.5,0.15,5,7,0.691905088504966
"credit_data",0.5,0.15,7,3,0.688259179160004
"credit_data",0.5,0.15,7,5,0.697484551838845
"credit_data",0.5,0.15,7,7,0.695536411861197
"credit_data",0.5,0.2,3,3,0.689924081071527
"credit_data",0.5,0.2,3,5,0.702791193501953
"credit_data",0.5,0.2,3,7,0.695639447459813
"credit_data",0.5,0.2,5,3,0.686359444605983
"credit_data",0.5,0.2,5,5,0.69619103597757
"credit_data",0.5,0.2,5,7,0.696865754875291
"credit_data",0.5,0.2,7,3,0.688194357534411
"credit_data",0.5,0.2,7,5,0.700172682325651
"credit_data",0.5,0.2,7,7,0.696969992338556
"credit_data",0.5,0.25,3,3,0.689335541815879
"credit_data",0.5,0.25,3,5,0.696191185366394
"credit_data",0.5,0.25,3,7,0.695388350291768
"credit_data",0.5,0.25,5,3,0.690449445915389
"credit_data",0.5,0.25,5,5,0.698479277570564
"credit_data",0.5,0.25,5,7,0.693553749204069
"credit_data",0.5,0.25,7,3,0.686640061662427
"credit_data",0.5,0.25,7,5,0.702465150290253
"credit_data",0.5,0.25,7,7,0.696433042571003
"credit_data",0.75,0,3,3,0.707552499953086
"credit_data",0.75,0,3,5,0.720711522810169
"credit_data",0.75,0,3,7,0.709828300961082
"credit_data",0.75,0,5,3,0.71865574456608
"credit_data",0.75,0,5,5,0.727240023224098
"credit_data",0.75,0,5,7,0.716274713883493
"credit_data",0.75,0,7,3,0.712949586538223
"credit_data",0.75,0,7,5,0.730353853246437
"credit_data",0.75,0,7,7,0.716026334939642
"credit_data",0.75,0.05,3,3,0.709514816628304
"credit_data",0.75,0.05,3,5,0.71837001844172
"credit_data",0.75,0.05,3,7,0.709615695752079
"credit_data",0.75,0.05,5,3,0.716452494441759
"credit_data",0.75,0.05,5,5,0.727859923851514
"credit_data",0.75,0.05,5,7,0.716491676220236
"credit_data",0.75,0.05,7,3,0.71504322944347
"credit_data",0.75,0.05,7,5,0.73078023452715
"credit_data",0.75,0.05,7,7,0.717138823221277
"credit_data",0.75,0.1,3,3,0.704645835706482
"credit_data",0.75,0.1,3,5,0.723886496405843
"credit_data",0.75,0.1,3,7,0.708997463932483
"credit_data",0.75,0.1,5,3,0.715261276058544
"credit_data",0.75,0.1,5,5,0.729446482438116
"credit_data",0.75,0.1,5,7,0.716509633994785
"credit_data",0.75,0.1,7,3,0.710703537439137
"credit_data",0.75,0.1,7,5,0.727008908312246
"credit_data",0.75,0.1,7,7,0.714772099720372
"credit_data",0.75,0.15,3,3,0.707780987695507
"credit_data",0.75,0.15,3,5,0.716282968096069
"credit_data",0.75,0.15,3,7,0.706019564261867
"credit_data",0.75,0.15,5,3,0.712838767394822
"credit_data",0.75,0.15,5,5,0.728877223119076
"credit_data",0.75,0.15,5,7,0.714313331428015
"credit_data",0.75,0.15,7,3,0.708954662708051
"credit_data",0.75,0.15,7,5,0.732382406817972
"credit_data",0.75,0.15,7,7,0.719549396758404
"credit_data",0.75,0.2,3,3,0.712124491510938
"credit_data",0.75,0.2,3,5,0.723145676158043
"credit_data",0.75,0.2,3,7,0.703856542430715
