"dataset","classifier","method","metric_value","rank"
"glass0","logit","baseline",1,5.5
"glass0","logit","borderline_smote",1,5.5
"glass0","logit","da_smote",1,5.5
"glass0","logit","da_smote_penn",1,5.5
"glass0","logit","ld_smote",1,5.5
"glass0","logit","penn",1,5.5
"glass0","logit","smote",1,5.5
"glass0","logit","smote_enn",1,5.5
"glass0","logit","smote_tomek",1,5.5
"glass0","rf","adasyn",1,5.5
"glass0","rf","baseline",1,5.5
"glass0","rf","borderline_smote",1,5.5
"glass0","rf","da_smote",1,5.5
"glass0","rf","da_smote_penn",1,5.5
"glass0","rf","ld_smote",1,5.5
"glass0","rf","penn",1,5.5
"glass0","rf","smote",1,5.5
"glass0","rf","smote_enn",1,5.5
"glass0","rf","smote_tomek",1,5.5
"glass0","svm_rbf","adasyn",1,5.5
"glass0","svm_rbf","baseline",1,5.5
"glass0","svm_rbf","borderline_smote",1,5.5
"glass0","svm_rbf","da_smote",1,5.5
"glass0","svm_rbf","da_smote_penn",1,5.5
"glass0","svm_rbf","ld_smote",1,5.5
"glass0","svm_rbf","penn",1,5.5
"glass0","svm_rbf","smote",1,5.5
"glass0","svm_rbf","smote_enn",1,5.5
"glass0","svm_rbf","smote_tomek",1,5.5
"glass0","xgb","adasyn",1,5.5
"glass0","xgb","baseline",1,5.5
"glass0","xgb","borderline_smote",1,5.5
"glass0","xgb","da_smote",1,5.5
"glass0","xgb","da_smote_penn",1,5.5
"glass0","xgb","ld_smote",1,5.5
"glass0","xgb","penn",1,5.5
"glass0","xgb","smote",1,5.5
"glass0","xgb","smote_enn",1,5.5
"glass0","xgb","smote_tomek",1,5.5
"glass4","knn","adasyn",NA,1
"glass4","knn","baseline",NA,2
"glass4","knn","borderline_smote",NA,3
"glass4","knn","da_smote",NA,4
"glass4","knn","da_smote_penn",NA,5
"glass4","knn","ld_smote",NA,6
"glass4","knn","penn",NA,7
"glass4","knn","smote",NA,8
"glass4","knn","smote_enn",NA,9
"glass4","knn","smote_tomek",NA,10
"glass4","logit","adasyn",NA,1
"glass4","logit","baseline",NA,2
"glass4","logit","borderline_smote",NA,3
"glass4","logit","da_smote",NA,4
"glass4","logit","da_smote_penn",NA,5
"glass4","logit","ld_smote",NA,6
"glass4","logit","penn",NA,7
"glass4","logit","smote",NA,8
"glass4","logit","smote_enn",NA,9
"glass4","logit","smote_tomek",NA,10
"glass4","rf","adasyn",NA,1
"glass4","rf","baseline",NA,2
"glass4","rf","borderline_smote",NA,3
"glass4","rf","da_smote",NA,4
"glass4","rf","da_smote_penn",NA,5
"glass4","rf","ld_smote",NA,6
"glass4","rf","penn",NA,7
"glass4","rf","smote",NA,8
"glass4","rf","smote_enn",NA,9
"glass4","rf","smote_tomek",NA,10
"glass4","svm_rbf","adasyn",NA,1
"glass4","svm_rbf","baseline",NA,2
"glass4","svm_rbf","borderline_smote",NA,3
"glass4","svm_rbf","da_smote",NA,4
"glass4","svm_rbf","da_smote_penn",NA,5
"glass4","svm_rbf","ld_smote",NA,6
