"alpha","beta","k_smote","k_enn","primary_metric"
0.25,0.1,3,7,0.806599508736194
0.25,0.15,3,7,0.806528550226873
0.25,0,7,7,0.806468128829844
0.25,0.05,5,5,0.806317078821001
0.5,0.05,7,7,0.806049203888645
0.25,0.2,3,5,0.805932796988885
0.25,0.25,5,5,0.805770971828398
0.5,0,5,3,0.805727409481148
0.25,0.2,5,5,0.805478114100271
0.5,0.1,7,3,0.805383711889357
0.25,0,5,5,0.805303538930044
0.25,0.15,7,5,0.805249052367256
0.25,0.25,7,5,0.805109970180975
0.25,0,3,5,0.805081010737213
0.5,0.1,5,3,0.805060256434338
0.75,0.2,3,3,0.805057667796467
0.25,0.1,3,5,0.804953774086476
0.75,0.25,7,3,0.804934549207661
0.25,0.15,5,5,0.804917688004358
0.25,0.15,7,3,0.804900467367123
0.5,0.1,5,7,0.804870374940967
0.5,0,5,7,0.804855041292118
0.5,0.1,7,7,0.804809352685837
0.25,0.25,3,5,0.804744362115706
0.75,0.05,5,3,0.804734521063856
0.5,0.2,5,7,0.804622754797066
0.25,0.1,5,3,0.804589716696586
0.5,0.2,7,7,0.804530366790104
0.25,0.2,7,3,0.804464004302487
0.5,0.25,7,7,0.804382789878779
0.75,0.25,3,3,0.804368105892135
0.75,0.1,5,7,0.804363049290246
0.75,0.1,5,3,0.804349327297809
0.75,0,5,3,0.804214357521076
0.25,0,7,3,0.804197882578466
0.75,0.05,7,7,0.80418650126457
0.5,0.05,5,3,0.804085887871222
0.25,0.15,5,3,0.80404619501757
0.5,0.15,7,7,0.803939367532522
0.25,0.05,5,3,0.803890785111061
0.75,0.15,3,3,0.803816261797718
0.5,0.1,3,7,0.803689474124796
0.75,0.05,3,3,0.803278537582064
0.5,0.25,3,7,0.803241685748336
0.25,0.2,3,3,0.803173564746509
0.75,0.15,7,7,0.803111728383098
0.75,0,5,7,0.803093511084695
0.5,0.05,5,7,0.802869263094538
0.75,0.25,5,3,0.802841528298804
0.5,0.15,3,7,0.802784822942716
0.75,0.2,7,7,0.802754946423984
0.5,0,3,7,0.802710027433795
0.75,0.15,5,3,0.802708968561215
0.75,0.2,5,3,0.80268078442809
0.75,0.05,5,7,0.80263237876198
0.25,0.25,7,3,0.802546903773927
0.5,0.15,5,7,0.802481875471411
0.25,0.25,5,3,0.802455291660974
0.5,0.15,7,3,0.80244141820445
0.75,0.1,7,3,0.802430912224096
0.25,0.05,7,3,0.802374276495222
0.75,0.05,7,3,0.802328257743793
0.75,0.1,3,3,0.802251095448217
0.5,0.25,5,7,0.802194102346594
0.5,0.05,3,3,0.802080098173059
0.5,0.25,3,3,0.802015282287283
0.75,0.2,7,3,0.802005560399717
0.75,0.25,3,7,0.801958355972026
0.75,0.15,7,3,0.80185914769542
0.75,0.15,5,7,0.801800505073295
0.5,0.2,3,3,0.801754799582664
0.75,0.05,3,7,0.801639956268162
0.25,0.2,5,3,0.801628149118004
0.25,0.05,3,5,0.801598879444124
0.25,0.15,3,5,0.801526622975909
0.5,0.2,3,7,0.801484589192064
0.75,0,3,3,0.801337413842777
0.5,0.15,3,3,0.801270532320513
0.75,0.1,3,7,0.801209536904109
0.75,0.1,7,7,0.801158670141974
0.25,0.1,3,3,0.801004607527007
0.75,0,7,7,0.800948502824387
0.25,0.05,3,3,0.800689431254016
0.75,0.25,7,7,0.800659011453316
0.25,0.25,3,3,0.800577807722986
0.75,0.15,3,7,0.800566246478612
0.25,0.1,7,3,0.800515201960173
0.25,0.15,3,3,0.800294239994185
0.75,0,7,3,0.800177103181293
0.75,0,3,7,0.800003174139354
0.25,0,3,3,0.800001244977558
1,0.25,5,5,0.799979060042054
0.75,0.25,5,7,0.799808337565339
0.5,0.1,3,3,0.799614828031461
1,0,5,5,0.799517035632678
0.75,0.2,5,7,0.799461897750253
1,0.05,5,5,0.799295385590873
1,0.1,5,5,0.798984721361093
0.25,0,5,3,0.798941873359548
1,0.2,5,5,0.798883330016133
0.75,0.2,3,7,0.798854340136857
0.5,0,3,3,0.798850064694799
1,0.15,5,5,0.798330140669528
1,0.25,7,5,0.798023624602212
1,0.15,7,5,0.797981917552757
1,0.1,7,5,0.79785252273687
1,0.05,7,5,0.797451191189501
1,0,7,5,0.79633774977157
1,0.2,7,5,0.795733344639489
1,0.25,3,5,0.794985059424713
1,0.2,3,5,0.79488199345366
1,0.1,3,5,0.793802378227715
1,0,3,5,0.793649765446733
1,0.15,3,5,0.793492784831601
1,0.05,3,5,0.793152105858826
1,0,5,3,0.790379238171387
1,0.15,5,3,0.788349341546016
1,0.25,7,3,0.788237162921563
1,0.1,5,3,0.787551266695375
1,0.2,5,3,0.787156632548632
1,0,7,3,0.787036592117447
1,0.05,5,3,0.786998174120844
1,0.15,7,3,0.786765970394392
1,0.2,7,3,0.786494467698821
1,0.05,3,3,0.786260752045417
1,0.1,3,3,0.78622647447127
1,0.25,5,3,0.786071170783893
1,0.05,7,3,0.785401973064614
1,0.15,3,3,0.785252518015519
1,0,3,3,0.785017580533288
1,0.1,7,3,0.784849709108237
1,0.25,3,3,0.784649762250084
1,0.2,3,3,0.784636177651763
1,0.2,7,7,0.783981835744122
1,0.25,5,7,0.783658722040725
1,0.1,5,7,0.783401496207177
1,0.05,5,7,0.783242824912734
1,0.25,7,7,0.782619622686567
1,0,5,7,0.782381789905137
1,0.2,5,7,0.782335878413128
1,0,7,7,0.781515524576369
1,0.05,7,7,0.78086604408339
1,0.15,5,7,0.780278747103339
1,0.1,7,7,0.78014085968609
1,0.15,7,7,0.780098646849806
1,0.2,3,7,0.779300394276853
1,0.05,3,7,0.777727346330829
1,0,3,7,0.777505848200046
1,0.1,3,7,0.777444617451965
1,0.15,3,7,0.776637104649438
1,0.25,3,7,0.776233938185746
