"imbalance_ratio","replication","split","method","classifier","runtime_seconds","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"5:995",3,3,"borderline_smote","knn",0.00610613822937012,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,3,"smote_tomek","knn",0.0141348838806152,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.4,0.992424242424242
"5:995",3,3,"smote_enn","knn",0.0143330097198486,2,165,33,0,1,0.833333333333333,0.0571428571428571,0.108108108108108,0.912870929175277,0.916666666666667,0.218217890235992,0.0689655172413793,0.931818181818182
"5:995",3,3,"da_smote","knn",0.00586700439453125,2,180,18,0,1,0.909090909090909,0.1,0.181818181818182,0.953462589245592,0.954545454545455,0.301511344577764,1,1
"5:995",3,3,"penn","knn",0.00372314453125,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,3,"ld_smote","knn",0.00750994682312012,2,178,20,0,1,0.898989898989899,0.0909090909090909,0.166666666666667,0.94815077861588,0.94949494949495,0.285878216122927,1,1
"5:995",3,3,"da_smote_penn","knn",0.0129749774932861,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,0.153846153846154,0.972222222222222
"5:995",3,4,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,4,"smote","knn",0.00573897361755371,2,180,18,0,1,0.909090909090909,0.1,0.181818181818182,0.953462589245592,0.954545454545455,0.301511344577764,1,1
"5:995",3,4,"adasyn","knn",0.00609898567199707,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,1,1
"5:995",3,4,"borderline_smote","knn",0.00599503517150879,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,4,"smote_tomek","knn",0.0141489505767822,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.4,0.992424242424242
"5:995",3,4,"smote_enn","knn",0.0144250392913818,2,169,29,0,1,0.853535353535353,0.0645161290322581,0.121212121212121,0.923869770874312,0.926767676767677,0.234663156465349,0.0769230769230769,0.93939393939394
"5:995",3,4,"da_smote","knn",0.00582098960876465,2,178,20,0,1,0.898989898989899,0.0909090909090909,0.166666666666667,0.94815077861588,0.94949494949495,0.285878216122927,1,1
"5:995",3,4,"penn","knn",0.00375509262084961,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,4,"ld_smote","knn",0.00735306739807129,2,174,24,0,1,0.878787878787879,0.0769230769230769,0.142857142857143,0.937436866561092,0.93939393939394,0.259998206915101,1,1
"5:995",3,4,"da_smote_penn","knn",0.0129661560058594,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,0.153846153846154,0.972222222222222
"5:995",3,5,"baseline","knn",1.62124633789062e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,5,"smote","knn",0.00572013854980469,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,5,"adasyn","knn",0.00607895851135254,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,1,1
"5:995",3,5,"borderline_smote","knn",0.00617003440856934,2,183,15,0,1,0.924242424242424,0.117647058823529,0.210526315789474,0.9613752775282,0.962121212121212,0.329748999774146,1,1
"5:995",3,5,"smote_tomek","knn",0.0141839981079102,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.4,0.992424242424242
"5:995",3,5,"smote_enn","knn",0.014268159866333,2,168,30,0,1,0.848484848484849,0.0625,0.117647058823529,0.921132372943677,0.924242424242424,0.230283093235919,0.0714285714285714,0.934343434343434
"5:995",3,5,"da_smote","knn",0.00581979751586914,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"5:995",3,5,"penn","knn",0.00380897521972656,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.666666666666667,0.997474747474747
"5:995",3,5,"ld_smote","knn",0.00748300552368164,2,174,24,0,1,0.878787878787879,0.0769230769230769,0.142857142857143,0.937436866561092,0.93939393939394,0.259998206915101,1,1
"5:995",3,5,"da_smote_penn","knn",0.0129649639129639,2,180,18,0,1,0.909090909090909,0.1,0.181818181818182,0.953462589245592,0.954545454545455,0.301511344577764,0.142857142857143,0.96969696969697
"5:995",4,1,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,1,"smote","knn",0.00580406188964844,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,1,"adasyn","knn",0.00621700286865234,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,1,"borderline_smote","knn",0.00870990753173828,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,1,"smote_tomek","knn",0.0297560691833496,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.666666666666667,0.997474747474747
"5:995",4,1,"smote_enn","knn",0.0145001411437988,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.153846153846154,0.972222222222222
"5:995",4,1,"da_smote","knn",0.00605201721191406,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,1,"penn","knn",0.00375819206237793,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,1,"ld_smote","knn",0.00776386260986328,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"5:995",4,1,"da_smote_penn","knn",0.01432204246521,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,0.222222222222222,0.982323232323232
"5:995",4,2,"baseline","knn",1.71661376953125e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,1,1
"5:995",4,2,"smote","knn",0.00576901435852051,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
