"imbalance_ratio","replication","split","method","classifier","runtime_seconds","TP","TN","FP","FN","Sensitivity","Specificity","Precision","F1","Gmean","BalancedAccuracy","MCC","AUPRC","AUROC"
"10:990",83,1,"smote_tomek","knn",0.0154099464416504,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,0.5,0.99748743718593
"10:990",83,1,"smote_enn","knn",0.0141348838806152,1,185,14,0,1,0.92964824120603,0.0666666666666667,0.125,0.964182680411772,0.964824120603015,0.248950897595762,0.0769230769230769,0.969849246231156
"10:990",83,1,"da_smote","knn",0.00574517250061035,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,1,"penn","knn",0.00387096405029297,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,1,"ld_smote","knn",0.00742602348327637,1,194,5,0,1,0.974874371859296,0.166666666666667,0.285714285714286,0.987357266575426,0.987437185929648,0.40308691615649,1,1
"10:990",83,1,"da_smote_penn","knn",0.0129189491271973,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,0.25,0.992462311557789
"10:990",83,2,"baseline","knn",1.78813934326172e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,2,"smote","knn",0.00582408905029297,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,2,"adasyn","knn",0.0065910816192627,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,2,"borderline_smote","knn",0.00677585601806641,1,195,4,0,1,0.979899497487437,0.2,0.333333333333333,0.989898730925258,0.989949748743719,0.44269617063793,1,1
"10:990",83,2,"smote_tomek","knn",0.00796890258789062,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,0.5,0.99748743718593
"10:990",83,2,"smote_enn","knn",0.0211138725280762,1,184,15,0,1,0.92462311557789,0.0625,0.117647058823529,0.961573250240401,0.962311557788945,0.2403933125601,0.0769230769230769,0.969849246231156
"10:990",83,2,"da_smote","knn",0.00574302673339844,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,1,1
"10:990",83,2,"penn","knn",0.00369381904602051,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,2,"ld_smote","knn",0.00757503509521484,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,2,"da_smote_penn","knn",0.0129539966583252,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,0.166666666666667,0.987437185929648
"10:990",83,3,"baseline","knn",1.59740447998047e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,3,"smote","knn",0.0058438777923584,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,3,"adasyn","knn",0.00609922409057617,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,3,"borderline_smote","knn",0.00606107711791992,1,195,4,0,1,0.979899497487437,0.2,0.333333333333333,0.989898730925258,0.989949748743719,0.44269617063793,1,1
"10:990",83,3,"smote_tomek","knn",0.00784397125244141,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,3,"smote_enn","knn",0.0210089683532715,1,184,15,0,1,0.92462311557789,0.0625,0.117647058823529,0.961573250240401,0.962311557788945,0.2403933125601,0.0769230769230769,0.969849246231156
"10:990",83,3,"da_smote","knn",0.00588583946228027,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,3,"penn","knn",0.00372815132141113,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,3,"ld_smote","knn",0.0073850154876709,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,3,"da_smote_penn","knn",0.012861967086792,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,0.166666666666667,0.987437185929648
"10:990",83,4,"baseline","knn",1.69277191162109e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,4,"smote","knn",0.00584101676940918,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,4,"adasyn","knn",0.00666499137878418,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,1,1
"10:990",83,4,"borderline_smote","knn",0.00675106048583984,1,195,4,0,1,0.979899497487437,0.2,0.333333333333333,0.989898730925258,0.989949748743719,0.44269617063793,1,1
"10:990",83,4,"smote_tomek","knn",0.00794792175292969,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,0.5,0.99748743718593
"10:990",83,4,"smote_enn","knn",0.014193058013916,1,182,17,0,1,0.914572864321608,0.0555555555555556,0.105263157894737,0.956333030027515,0.957286432160804,0.225409856868378,0.0833333333333333,0.972361809045226
"10:990",83,4,"da_smote","knn",0.00611019134521484,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,1,1
"10:990",83,4,"penn","knn",0.00372099876403809,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,4,"ld_smote","knn",0.00786900520324707,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,4,"da_smote_penn","knn",0.0128631591796875,1,191,8,0,1,0.959798994974874,0.111111111111111,0.2,0.979693316796065,0.979899497487437,0.326564438932022,0.125,0.982412060301508
"10:990",83,5,"baseline","knn",1.59740447998047e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,5,"smote","knn",0.00577497482299805,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,5,"adasyn","knn",0.00611519813537598,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,5,"borderline_smote","knn",0.00612783432006836,1,195,4,0,1,0.979899497487437,0.2,0.333333333333333,0.989898730925258,0.989949748743719,0.44269617063793,1,1
"10:990",83,5,"smote_tomek","knn",0.00782608985900879,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,5,"smote_enn","knn",0.0141139030456543,1,183,16,0,1,0.919597989949749,0.0588235294117647,0.111111111111111,0.95895671953939,0.959798994974874,0.232581167356277,0.0714285714285714,0.967336683417085
"10:990",83,5,"da_smote","knn",0.0127410888671875,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,1,1
"10:990",83,5,"penn","knn",0.00393414497375488,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.333333333333333,0.994974874371859
"10:990",83,5,"ld_smote","knn",0.00748896598815918,1,193,6,0,1,0.969849246231156,0.142857142857143,0.25,0.984809243575199,0.984924623115578,0.372222906762516,1,1
"10:990",83,5,"da_smote_penn","knn",0.0129158496856689,1,192,7,0,1,0.964824120603015,0.125,0.222222222222222,0.98225461088407,0.982412060301508,0.34727944810394,0.2,0.989949748743719
"10:990",84,1,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,1,"smote","knn",0.0261027812957764,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",84,1,"adasyn","knn",0.00674700736999512,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,1,1
"10:990",84,1,"borderline_smote","knn",0.00747990608215332,1,192,6,1,0.5,0.96969696969697,0.142857142857143,0.222222222222222,0.696310623822791,0.734848484848485,0.25429491549015,0.574413141470618,0.978535353535354
"10:990",84,1,"smote_tomek","knn",0.00800919532775879,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.887326536083514,0.998737373737374
"10:990",84,1,"smote_enn","knn",0.0140039920806885,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.166666666666667,0.974747474747475
"10:990",84,1,"da_smote","knn",0.00583004951477051,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.887326536083514,0.998737373737374
"10:990",84,1,"penn","knn",0.00407195091247559,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,1,"ld_smote","knn",0.00739097595214844,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.820699373457766,0.997474747474748
"10:990",84,1,"da_smote_penn","knn",0.0127899646759033,2,173,25,0,1,0.873737373737374,0.0740740740740741,0.137931034482759,0.934739200920435,0.936868686868687,0.25440378720355,0.666666666666667,0.997474747474747
"10:990",84,2,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,2,"smote","knn",0.00569415092468262,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",84,2,"adasyn","knn",0.00624299049377441,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,1,1
"10:990",84,2,"borderline_smote","knn",0.00605511665344238,1,191,7,1,0.5,0.964646464646465,0.125,0.2,0.694494947658536,0.732323232323232,0.235925357710388,0.574413141470618,0.978535353535354
"10:990",84,2,"smote_tomek","knn",0.00788617134094238,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,0.887326536083514,0.998737373737374
"10:990",84,2,"smote_enn","knn",0.0144038200378418,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,0.166666666666667,0.974747474747475
"10:990",84,2,"da_smote","knn",0.0057520866394043,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,1,1
"10:990",84,2,"penn","knn",0.00379800796508789,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,2,"ld_smote","knn",0.00769400596618652,2,172,26,0,1,0.868686868686869,0.0714285714285714,0.133333333333333,0.932033727226042,0.934343434343434,0.249096491442698,0.820699373457766,0.997474747474748
"10:990",84,2,"da_smote_penn","knn",0.0127911567687988,2,175,23,0,1,0.883838383838384,0.08,0.148148148148148,0.940126791362944,0.941919191919192,0.265908011739155,1,1
"10:990",84,3,"baseline","knn",1.59740447998047e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,3,"smote","knn",0.00603890419006348,2,180,18,0,1,0.909090909090909,0.1,0.181818181818182,0.953462589245592,0.954545454545455,0.301511344577764,1,1
"10:990",84,3,"adasyn","knn",0.00682997703552246,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",84,3,"borderline_smote","knn",0.00623917579650879,1,190,8,1,0.5,0.95959595959596,0.111111111111111,0.181818181818182,0.692674512161361,0.72979797979798,0.220590018278976,0.574413141470618,0.978535353535354
"10:990",84,3,"smote_tomek","knn",0.00786995887756348,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.820699373457766,0.997474747474748
"10:990",84,3,"smote_enn","knn",0.0139291286468506,2,175,23,0,1,0.883838383838384,0.08,0.148148148148148,0.940126791362944,0.941919191919192,0.265908011739155,0.181818181818182,0.977272727272727
"10:990",84,3,"da_smote","knn",0.0059051513671875,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",84,3,"penn","knn",0.00379610061645508,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,3,"ld_smote","knn",0.0140318870544434,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.887326536083514,0.998737373737374
"10:990",84,3,"da_smote_penn","knn",0.0129499435424805,2,172,26,0,1,0.868686868686869,0.0714285714285714,0.133333333333333,0.932033727226042,0.934343434343434,0.249096491442698,1,1
"10:990",84,4,"baseline","knn",1.59740447998047e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,4,"smote","knn",0.00577211380004883,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.887326536083514,0.998737373737374
"10:990",84,4,"adasyn","knn",0.00607800483703613,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",84,4,"borderline_smote","knn",0.00607609748840332,1,191,7,1,0.5,0.964646464646465,0.125,0.2,0.694494947658536,0.732323232323232,0.235925357710388,0.574413141470618,0.978535353535354
"10:990",84,4,"smote_tomek","knn",0.00785207748413086,2,179,19,0,1,0.904040404040404,0.0952380952380952,0.173913043478261,0.950810393317408,0.952020202020202,0.2934264577353,0.820699373457766,0.997474747474748
"10:990",84,4,"smote_enn","knn",0.0145201683044434,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.2,0.97979797979798
"10:990",84,4,"da_smote","knn",0.00577497482299805,2,175,23,0,1,0.883838383838384,0.08,0.148148148148148,0.940126791362944,0.941919191919192,0.265908011739155,1,1
"10:990",84,4,"penn","knn",0.00377011299133301,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,4,"ld_smote","knn",0.0075829029083252,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,0.820699373457766,0.997474747474748
"10:990",84,4,"da_smote_penn","knn",0.013279914855957,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,1,1
"10:990",84,5,"baseline","knn",1.69277191162109e-05,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,5,"smote","knn",0.00615882873535156,2,178,20,0,1,0.898989898989899,0.0909090909090909,0.166666666666667,0.94815077861588,0.94949494949495,0.285878216122927,1,1
"10:990",84,5,"adasyn","knn",0.0112287998199463,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,1,1
"10:990",84,5,"borderline_smote","knn",0.00639486312866211,1,191,7,1,0.5,0.964646464646465,0.125,0.2,0.694494947658536,0.732323232323232,0.235925357710388,0.574413141470618,0.978535353535354
"10:990",84,5,"smote_tomek","knn",0.007843017578125,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.887326536083514,0.998737373737374
"10:990",84,5,"smote_enn","knn",0.0142099857330322,2,175,23,0,1,0.883838383838384,0.08,0.148148148148148,0.940126791362944,0.941919191919192,0.265908011739155,0.153846153846154,0.972222222222222
"10:990",84,5,"da_smote","knn",0.00576186180114746,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,1,1
"10:990",84,5,"penn","knn",0.00377893447875977,0,198,0,2,0,1,NA,NA,0,0.5,NA,0.887326536083514,0.998737373737374
"10:990",84,5,"ld_smote","knn",0.0073399543762207,2,177,21,0,1,0.893939393939394,0.0869565217391304,0.16,0.945483682534709,0.946969696969697,0.278807927330906,0.887326536083514,0.998737373737374
"10:990",84,5,"da_smote_penn","knn",0.165191888809204,2,176,22,0,1,0.888888888888889,0.0833333333333333,0.153846153846154,0.942809041582063,0.944444444444444,0.272165526975909,1,1
"10:990",85,1,"baseline","knn",1.71661376953125e-05,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,1,"smote","knn",0.00570917129516602,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,1,"adasyn","knn",0.0061790943145752,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,1,"borderline_smote","knn",0.00608491897583008,2,191,7,0,1,0.964646464646465,0.222222222222222,0.363636363636364,0.982164173978294,0.982323232323232,0.462996631772357,1,1
"10:990",85,1,"smote_tomek","knn",0.00776886940002441,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,0.333333333333333,0.98989898989899
"10:990",85,1,"smote_enn","knn",0.0140399932861328,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,0.142857142857143,0.96969696969697
"10:990",85,1,"da_smote","knn",0.00613689422607422,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,1,1
"10:990",85,1,"penn","knn",0.00401616096496582,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,1,"ld_smote","knn",0.00787210464477539,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,1,1
"10:990",85,1,"da_smote_penn","knn",0.0191049575805664,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,0.222222222222222,0.982323232323232
"10:990",85,2,"baseline","knn",1.59740447998047e-05,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,2,"smote","knn",0.00590610504150391,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"10:990",85,2,"adasyn","knn",0.0063929557800293,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,2,"borderline_smote","knn",0.00687503814697266,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,2,"smote_tomek","knn",0.00804901123046875,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,0.5,0.994949494949495
"10:990",85,2,"smote_enn","knn",0.0140550136566162,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,0.117647058823529,0.962121212121212
"10:990",85,2,"da_smote","knn",0.00589394569396973,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,1,1
"10:990",85,2,"penn","knn",0.0038149356842041,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,2,"ld_smote","knn",0.00739502906799316,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,2,"da_smote_penn","knn",0.0130720138549805,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,0.285714285714286,0.987373737373737
"10:990",85,3,"baseline","knn",1.69277191162109e-05,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,3,"smote","knn",0.0057530403137207,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,1,1
"10:990",85,3,"adasyn","knn",0.00602602958679199,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,3,"borderline_smote","knn",0.006072998046875,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"10:990",85,3,"smote_tomek","knn",0.00785708427429199,2,184,14,0,1,0.929292929292929,0.125,0.222222222222222,0.963998407308295,0.964646464646465,0.340824905430363,0.333333333333333,0.98989898989899
"10:990",85,3,"smote_enn","knn",0.0144689083099365,2,181,17,0,1,0.914141414141414,0.105263157894737,0.19047619047619,0.956107428138394,0.957070707070707,0.310202211492577,0.117647058823529,0.962121212121212
"10:990",85,3,"da_smote","knn",0.00578784942626953,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,3,"penn","knn",0.00378513336181641,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,3,"ld_smote","knn",0.00767302513122559,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,1,1
"10:990",85,3,"da_smote_penn","knn",0.0130128860473633,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,0.25,0.984848484848485
"10:990",85,4,"baseline","knn",1.71661376953125e-05,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,4,"smote","knn",0.0285990238189697,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"10:990",85,4,"adasyn","knn",0.00654196739196777,2,190,8,0,1,0.95959595959596,0.2,0.333333333333333,0.979589689408764,0.97979797979798,0.438085827115181,1,1
"10:990",85,4,"borderline_smote","knn",0.0068519115447998,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,4,"smote_tomek","knn",0.00824117660522461,2,186,12,0,1,0.93939393939394,0.142857142857143,0.25,0.96922336919512,0.96969696969697,0.366331999966061,0.285714285714286,0.987373737373737
"10:990",85,4,"smote_enn","knn",0.0139749050140381,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,0.125,0.964646464646465
"10:990",85,4,"da_smote","knn",0.00581693649291992,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,4,"penn","knn",0.00380301475524902,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,4,"ld_smote","knn",0.00750112533569336,2,188,10,0,1,0.94949494949495,0.166666666666667,0.285714285714286,0.974420314594759,0.974747474747475,0.39780542762657,1,1
"10:990",85,4,"da_smote_penn","knn",0.0130500793457031,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,0.25,0.984848484848485
"10:990",85,5,"baseline","knn",1.71661376953125e-05,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,5,"smote","knn",0.00575017929077148,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,5,"adasyn","knn",0.00602293014526367,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,5,"borderline_smote","knn",0.00602817535400391,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,1,1
"10:990",85,5,"smote_tomek","knn",0.00782299041748047,2,189,9,0,1,0.954545454545455,0.181818181818182,0.307692307692308,0.977008420918394,0.977272727272727,0.416597790450531,0.666666666666667,0.997474747474747
"10:990",85,5,"smote_enn","knn",0.0145800113677979,2,182,16,0,1,0.919191919191919,0.111111111111111,0.2,0.958744970882205,0.95959595959596,0.319581656960735,0.133333333333333,0.967171717171717
"10:990",85,5,"da_smote","knn",0.00577187538146973,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,1,1
"10:990",85,5,"penn","knn",0.00378584861755371,1,198,0,1,0.5,1,1,0.666666666666667,0.707106781186548,0.75,0.705327893384297,0.820699373457766,0.997474747474748
"10:990",85,5,"ld_smote","knn",0.00743412971496582,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,1,1
"10:990",85,5,"da_smote_penn","knn",0.0131490230560303,2,187,11,0,1,0.944444444444444,0.153846153846154,0.266666666666667,0.97182531580755,0.972222222222222,0.381181249931244,0.25,0.984848484848485
"10:990",86,1,"baseline","knn",1.59740447998047e-05,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.166666666666667,0.987437185929648
"10:990",86,1,"smote","knn",0.00624394416809082,1,185,14,0,1,0.92964824120603,0.0666666666666667,0.125,0.964182680411772,0.964824120603015,0.248950897595762,1,1
"10:990",86,1,"adasyn","knn",0.00849580764770508,1,184,15,0,1,0.92462311557789,0.0625,0.117647058823529,0.961573250240401,0.962311557788945,0.2403933125601,1,1
"10:990",86,1,"borderline_smote","knn",0.00609993934631348,0,191,8,1,0,0.959798994974874,0,NA,0,0.479899497487437,-0.0144699770043308,0.0537128973715797,0.957286432160804
"10:990",86,1,"smote_tomek","knn",0.00777602195739746,1,182,17,0,1,0.914572864321608,0.0555555555555556,0.105263157894737,0.956333030027515,0.957286432160804,0.225409856868378,0.25,0.992462311557789
"10:990",86,1,"smote_enn","knn",0.0139820575714111,1,180,19,0,1,0.904522613065327,0.05,0.0952380952380952,0.951063937422362,0.952261306532663,0.212664361502501,0.05,0.952261306532663
"10:990",86,1,"da_smote","knn",0.00574302673339844,1,183,16,0,1,0.919597989949749,0.0588235294117647,0.111111111111111,0.95895671953939,0.959798994974874,0.232581167356277,1,1
"10:990",86,1,"penn","knn",0.00371408462524414,0,199,0,1,0,1,NA,NA,0,0.5,NA,0.166666666666667,0.987437185929648
"10:990",86,1,"ld_smote","knn",0.00753283500671387,1,185,14,0,1,0.92964824120603,0.0666666666666667,0.125,0.964182680411772,0.964824120603015,0.248950897595762,0.0666666666666667,0.964824120603015
